,t_s,H_m,Qw_m3s,Ai_m2,todoy,iceon,tau,starth,gravelz,Hdl,His,Ta,Uw,rh,P,Ta_C,Hstar,Astar,Qstar,Tw_C,thawingdegreedays
80,864000,0.0,0.0,0.0,151,274,14,0.5,0.5,185.22075,0.0,-22.72,0.0,0.7911,100400.0,-22.72,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
81,874800,0.0,0.0,0.0,151,274,14,0.5,0.5,186.3377375,0.0,-23.12,0.0,0.7890999999999999,100400.0,-23.12,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
82,885600,0.0,0.0,0.0,151,274,14,0.5,0.5,187.454725,0.0,-22.6,0.0,0.7904000000000001,100300.0,-22.6,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
83,896400,0.0,0.0,0.0,151,274,14,0.5,0.5,188.57171250000002,0.0,-22.66,0.0,0.7877,100200.0,-22.66,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
84,907200,0.0,0.0,0.0,151,274,14,0.5,0.5,189.6887,1.0,-24.19,0.0,0.7759999999999999,100100.0,-24.19,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
85,918000,0.0,0.0,0.0,151,274,14,0.5,0.5,188.28050000000002,1.0,-24.99,0.0,0.77,100000.0,-24.99,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
86,928800,0.0,0.0,0.0,151,274,14,0.5,0.5,186.8723,0.0,-25.01,0.0,0.7724,99900.0,-25.01,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
87,939600,0.0,0.0,0.0,151,274,14,0.5,0.5,185.4641,0.0,-23.18,0.0,0.7841,99900.0,-23.18,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
88,950400,0.0,0.0,0.0,151,274,14,0.5,0.5,184.0559,0.0,-22.83,0.0,0.7881,99800.0,-22.83,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
89,961200,0.0,0.0,0.0,151,274,14,0.5,0.5,182.64770000000001,0.0,-21.71,0.0,0.7955,99700.0,-21.71,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
90,972000,0.0,0.0,0.0,151,274,14,0.5,0.5,181.23950000000002,0.0,-21.64,0.0,0.7945,99600.0,-21.64,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
91,982800,0.0,0.0,0.0,151,274,14,0.5,0.5,179.8313,0.0,-21.35,0.0,0.7988,99600.0,-21.35,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
92,993600,0.0,0.0,0.0,151,274,14,0.5,0.5,178.4231,1.0,-21.66,0.0,0.7996,99600.0,-21.66,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
93,1004400,0.0,0.0,0.0,151,274,14,0.5,0.5,178.0097625,1.0,-21.43,0.0,0.804,99700.0,-21.43,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
94,1015200,0.0,0.0,0.0,151,274,14,0.5,0.5,177.596425,0.0,-21.51,0.0,0.804,99800.0,-21.51,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
95,1026000,0.0,0.0,0.0,151,274,14,0.5,0.5,177.1830875,0.0,-21.23,0.0,0.805,99800.0,-21.23,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
96,1036800,0.0,0.0,0.0,151,274,14,0.5,0.5,176.76975,0.0,-21.39,0.0,0.8059999999999999,99900.0,-21.39,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
97,1047600,0.0,0.0,0.0,151,274,14,0.5,0.5,176.3564125,0.0,-20.96,0.0,0.809,99900.0,-20.96,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
98,1058400,0.0,0.0,0.0,151,274,14,0.5,0.5,175.943075,0.0,-19.86,0.0,0.8190000000000001,99900.0,-19.86,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
99,1069200,0.0,0.0,0.0,151,274,14,0.5,0.5,175.5297375,0.0,-18.5,0.0,0.826,99800.0,-18.5,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
100,1080000,0.0,0.0,0.0,151,274,14,0.5,0.5,175.1164,1.0,-18.39,0.0,0.8340000000000001,99600.0,-18.39,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
101,1090800,0.0,0.0,0.0,151,274,14,0.5,0.5,174.4639875,1.0,-19.36,0.0,0.8220000000000001,99500.0,-19.36,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
102,1101600,0.0,0.0,0.0,151,274,14,0.5,0.5,173.811575,0.0,-19.55,0.0,0.8240000000000001,99300.0,-19.55,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
103,1112400,0.0,0.0,0.0,151,274,14,0.5,0.5,173.1591625,0.0,-17.37,0.0,0.8420000000000001,99200.0,-17.37,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
104,1123200,0.0,0.0,0.0,151,274,14,0.5,0.5,172.50675,0.0,-16.78,0.0,0.846,99100.0,-16.78,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
105,1134000,0.0,0.0,0.0,151,274,14,0.5,0.5,171.85433749999999,0.0,-17.21,0.0,0.843,99200.0,-17.21,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
106,1144800,0.0,0.0,0.0,151,274,14,0.5,0.5,171.201925,0.0,-16.91,0.0,0.848,99200.0,-16.91,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
107,1155600,0.0,0.0,0.0,151,274,14,0.5,0.5,170.5495125,0.0,-17.95,0.0,0.836,99200.0,-17.95,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
108,1166400,0.0,0.0,0.0,151,274,14,0.5,0.5,169.8971,1.0,-18.68,0.0,0.8290000000000001,99300.0,-18.68,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
109,1177200,0.0,0.0,0.0,151,274,14,0.5,0.5,171.217125,2.0,-19.87,0.0,0.8109999999999999,99400.0,-19.87,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
110,1188000,0.0,0.0,0.0,151,274,14,0.5,0.5,172.53715,0.0,-19.91,0.0,0.816,99400.0,-19.91,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
111,1198800,0.0,0.0,0.0,151,274,14,0.5,0.5,173.85717499999998,0.0,-19.96,0.0,0.816,99400.0,-19.96,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
112,1209600,0.0,0.0,0.0,151,274,14,0.5,0.5,175.1772,0.0,-18.19,0.0,0.845,99400.0,-18.19,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
113,1220400,0.0,0.0,0.0,151,274,14,0.5,0.5,176.49722500000001,0.0,-19.87,0.0,0.815,99500.0,-19.87,3013187.0925222733,1215007.7563992047,9423176.089943878,,1140.7825102470301
